year,sex,name,n,prop,first_letter,first_is_vowel
1993,M,Reny,5,,R,FALSE
1997,M,Gerhard,8,,G,FALSE
1985,F,Dolly,48,,D,FALSE
2005,F,Chai,7,,C,FALSE
1972,M,Governor,7,,G,FALSE
1986,M,Luisangel,5,2.60E-06,L,FALSE
1994,F,Gale,5,2.57E-06,G,FALSE
2011,F,Kathryne,13,6.72E-06,K,FALSE
2011,F,Alayssa,5,2.58E-06,A,TRUE
1888,F,Angela,33,0.00017419,A,TRUE
1928,F,,7,5.86E-06,D,FALSE
1992,M,,11,5.24E-06,P,FALSE
2001,F,,32,1.62E-05,C,FALSE
1998,F,Jayde,203,0.00010475,J,FALSE
2010,F,Raquell,5,2.55E-06,R,FALSE
1958,M,Geoffry,6,2.79E-06,G,FALSE
1983,F,Temeca,5,2.79E-06,T,FALSE
1988,F,Rusti,11,5.72E-06,R,FALSE
1979,F,Aviance,13,7.54E-06,A,TRUE
1988,F,Shacarra,8,4.16E-06,S,FALSE
1916,M,Wetzel,6,6.50E-06,W,FALSE
1931,F,Dorethia,7,6.34E-06,D,FALSE
2012,F,Hebah,5,2.58E-06,H,FALSE
1984,F,Magdalyn,5,2.77E-06,M,FALSE
2001,M,,5,2.42E-06,C,FALSE
1944,F,Marcelline,8,5.85E-06,M,FALSE
1927,F,Armida,40,3.24E-05,A,TRUE
2015,F,Leianna,28,1.44E-05,L,FALSE
1892,M,Mansfield,5,3.80E-05,M,FALSE
1946,F,Ellis,10,6.20E-06,E,TRUE
1996,F,Keanna,182,9.50E-05,K,FALSE
,M,Hamilton,34,1.91E-05,H,FALSE
,M,Herve,19,1.72E-05,H,FALSE
1950,F,Army,6,3.41E-06,A,TRUE
,F,Junis,9,8.28E-06,J,FALSE
1987,F,Breeana,23,1.23E-05,B,FALSE
2005,F,Zoe,4960,0.00244555,Z,FALSE
1962,F,Melessia,6,2.96E-06,M,FALSE
,F,Nayeli,869,0.00041091,N,FALSE
